materia_aulario,titulo_crudo_ejemplo,mejor_candidato_outlook,score
reserva (inf.),reserva (inf.),TEORÍA DE LA INFORMACIÓN,0.487
automatizacion b,automatizacion B (P),DIBUJO B,0.475
programación b p,Programación B P,PROGRAMACIÓN I,0.47
programación c p,Programación C P,PROGRAMACIÓN I,0.47
programación c t,Programación C T,PROGRAMACIÓN I,0.47
comportamiento organizacional y relaciones/administración de rh(op.y oblig.),comportamiento organizacional y relaciones/Administración de RH(op.y oblig.),COMPORTAMIENTO ORGANIZACIONAL,0.468
física ci t,Física Ci T,FÍSICA 2,0.451
ingeniería de sistemas de procesos,Ingeniería de Sistemas de Procesos,INGENIERÍA DE VIDEOJUEGOS,0.442
calid. de sofware a tp-taller de programacion in,Calid. de Sofware A TP-taller de programacion In,TALLER DE PROGRAMACIÓN I,0.437
formulacion y eval.de proyectos,formulacion y eval.de proyectos.,GESTIÓN DE PROYECTOS,0.431
seminarios incitaa,seminarios INCITAA,SEMINARIO DE COMUNICACIÓN EFICAZ,0.429
estrategias para productos de software,estrategias para productos de software,INGENIERÍA DE SOFTWARE,0.42
lineas de transm. y antenas,lineas de transm. y antenas,MEDIOS DE TRANSMISIÓN,0.417
formulacion y eval.de proy,formulacion y eval.de proy. (TP),GESTIÓN DE PROYECTOS,0.403
c.p.d,C.P.D,ELECTROTECNIA D,0.385
trib.fricc.desgaste y lubricacion,trib.fricc.desgaste y lubricacion,TRIBOLOGÍA,0.384
seminario de energías renovables,Seminario de Energías Renovables,TRANSMISIÓN DE LA ENERGÍA ELÉCTRICA,0.371
administración empresarial en la economia del conocimiento,Administración Empresarial en la economia del conocimiento,ADMINISTRACIÓN DE OPERACIONES,0.36
gest.de logistica integ.y cad.de sumistro,gest.de logistica integ.y cad.de sumistro.(TP),LOGÍSTICA,0.348
concurso,Concurso,CONTROL,0.1
admistracion estrategica,admistracion estrategica,INVESTIGACIÓN OPERATIVA,0.096
concurso (qca),Concurso (Qca),CONTROL,0.079
curso foguista,curso foguista,LOGÍSTICA,0.078
curso frigorista,Curso Frigorista,ELECTRÓNICA DIGITAL,0.077
curso(no docente),curso(no docente),ECONOMÍA GENERAL,0.075
reservada (artigas-sosa)),reservada (Artigas-Sosa)),ESTÁTICA DEL SÓLIDO,0.073
