nombre_completo_cursada,profesores,enlace
100KStrongAmericas: UNMdP-UWPLATT International Exchange Project for Energy Efficiency Education,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1403
Acceso Abierto a la Información en la Sociedad del Conocimiento,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1509
Administración Empresarial en la Economía del Conocimiento (ING8401) / Organización y Dirección Industrial (865) Alias 2,NOELIA ANAHI GARCIA; CAROLINA MONTAÑA (Administración DII); OSCAR ANTONIO MORCELA; FERNANDO ATILIO ZAGNONI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1596
Administración de Operaciones (8301)/ Organización y Dirección Industrial I (848),JACQUELINE ANDREA BOUNOURE; JORGE EMILIANO FUERTES; GUILLERMO DANIEL HENDERSON; JOSE ISAAC MELIAN; CAROLINA MONTAÑA (Administración DII),https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1585
Administración de Recursos Humanos (839) / Comportamiento Organizacional y Relaciones del Trabajo (8402),MARIA VELIA ARTIGAS; MELISA ANDREA GLESSI; LUCIANA SOLEDAD SANTILLE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1430
Alimentación consciente y saludable: la incorporación del pescado en el menú escolar,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1393
Análisis Numérico para Ingeniería (Plan 2003),FRANCISCO JOSE ALVAREZ; FRANCISCO ANGEL JOSE LIZARRALDE; Lucas David Matilla; LUCAS SANCHEZ FELLAY; MARCOS FERNANDO TORRES RASMUSSEN,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1603
Análisis de Redes y su Impacto Frente a la Generación Distribuida Renovable,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1511
Análisis sensorial y estilos de cerveza,IGNACIO DURRUTY; LORENA PAOLA MANFREDI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1400
Análisis y Diseño de Sistemas B (Plan 2024) / Análisis y Diseño de Sistemas II (Plan 2010),SRECKO ESTANISLAO MILETA; GALIA CAROLINA SERRUYA; PEDRO FERNANDO SORIANO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1287
Análisis y Diseño de Tareas para el Desarrollo de Competencias en Ingeniería desde el Área de Matemática,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1153
Aprendizaje Organizacional (8510),,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1584
Arquitectura de Computadoras (Plan 2024) / Arquitectura y Organización de Computadoras (Plan 2010),WALTER ANDRES GEMIN; MELISA GISELE KUZMAN; LUCIANO VERGAGNI SOBRAL,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1218
Aspectos Químicos de la Degradación de Polímeros (Optativa),DAVID ALBERTO D'AMICO; CRISTINA ELENA HOPPE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1711
Aula virtual de Práctica,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1156
Automatización B (Plan 2024),GUSTAVO OSCAR BELLISKI; FRANCISCO DIEGO GARCIA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1733
Automatización basada en Neumática e Hidráulica (Plan 2003),David Crovo; ROBERTO RAFAEL FERNANDEZ; IGNACIO SANTIAGO GARRONE; GUILLERMO JUAN PLUCHINO; RICARDO JAVIER ZUCAL,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1185
Balances de Masa y Energía (Plan 2024),GUILLERMINA CAPIEL; EMILIANO MANUEL CIANNAMEA; MARINA CZERNER; SANDRA SILVIA GONZALEZ; CINTIA MEIORIN; ANA DEL VALLE SANCHEZ; IRENE TERESITA SEOANE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1296
Base de Datos,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1533
Bioquímica de Alimentos (Plan 2024),MARIA ROBERTA ANSORENA; Ariel Gonzalez; LUCAS PAN,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1683
Bromatología (Plan 2003),SILVINA PAOLA AGUSTINELLI; VIVIANA PAOLA CYRAS; GABRIELA LEONOR SANCHEZ PASCUA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1293
Buenas Prácticas de manejo aplicado a la Industria cervecera,IGNACIO DURRUTY; LORENA PAOLA MANFREDI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1402
Calidad de Software A (Plan 2024) / Taller de Programación I (Plan 2010),PAULA MICAELA BONIFAZI AQUINO; LEONEL DOMINGO GUCCIONE; CARLOS GUILLERMO LAZZURRI; ADOLFO TOMAS SPINELLI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1265
Calidad de la Energía Eléctrica,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1506
Centrales Eléctricas I (Plan 2003),DANIEL ORLANDO ANAUT; ISRAEL JOAQUIN SANCHEZ; JUAN MANUEL VIGNERTE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1379
Cerámica Industrial,MARIA ANDREA CAMERUCCI; LEANDRO ALFREDO RAMAJO; ANALIA GLADYS TOMBA MARTINEZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1346
Cerámicos,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1481
Cinética de Reacciones de Polimerización (Plan 2003),WALTER FABIAN SCHROEDER; JUAN PABLO TOMBA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1330
Circuitos Digitales (Plan 2024),SERGIO GABRIEL LUVONI; LUCIANO VERGAGNI SOBRAL,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1720
Coaching Organizacional (873)-Coaching Empresarial (8511),MARIA VICTORIA D'ONOFRIO; CAROLINA MONTAÑA (Administración DII); PAOLA PRESTES,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1418
Coloquio Química del Carbono,GUSTAVO ABEL ABRAHAM,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1613
Coloquio de Química Inorgánica (Plan 2024),SILVESTRE MANUEL BONGIOVANNI ABEL; PABLO MARTIN BOTTA; SILVIA MARCELA CERE; PAULA MARIELA DESIMONE; LILIANA BEATRIZ MANFREDI; Raúl Ariel Procaccini,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1548
Comportamiento Organizacional,MARIA VELIA ARTIGAS; LUCIANA SOLEDAD SANTILLE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1417
Comunicaciones Analógicas (Plan 2003),Ramiro Avalos Ribas; JUAN ALBERTO ETCHEVERRY; ALEJANDRO JOSE URIZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1233
Control Discreto (Plan 2024),ESTEFANY GABRIELA CUJANO AYALA; PATRICIO GABRIEL DONATO; SEBASTIAN OSCAR MAESTRI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1742
Control Numérico (Plan 2003),AMADEO DANIEL SOSA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1168
Control de calidad y microbiología,IGNACIO DURRUTY; LORENA PAOLA MANFREDI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1401
Convertidores Electrónicos de Potencia,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1504
Curso de Manipulación de Alimentos,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1478
Curso de extension,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1397
"Del Micelio al Mercado: Cultivo de Hongos Comestibles y Medicinales a Pequeña Escala: “Cultivá Hongos, Cultivá Oportunidades”",MELISSA CELESTE AGUIRRALDE; IGNACIO DURRUTY; ESTEBAN ESPINOSA VIDAL; ERIKA ALEJANDRA WOLSKI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1740
Demandas y Acciones - COVID-19,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1394
Departamento de Electrónica y Computación,MARIA ALEJANDRA RIVERO; ADRIANA GABRIELA SCANDURRA; ALEJANDRO JOSE URIZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1679
Desarrollo de Proyectos de Planificación Comercial (874),RICARDO DANIEL DE ELORZA; CAROLINA MONTAÑA (Administración DII); GONZALO EZEQUIEL RANA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1440
Dinámica y Control de Procesos / Control en Industrias de Alimentos,JESICA MICAELA HERRERA; MELINA KLOSTER; ANA DEL VALLE SANCHEZ; ILEANA ALICIA ZUCCHI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1312
Diseño Digital con Microcontroladores (Planes 2003-2010),CRISTIAN EMANUEL ORDOÑEZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1244
Diseño Digital con Técnicas de Alto Nivel y Principios de Diseño VLSI (Planes 2003-2010),LUCAS ANDRES RABIOGLIO; EZEQUIEL DARIO RODRIGUEZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1236
Diseño de Arquitecturas de Software (Planes 2010 y 2024),SRECKO ESTANISLAO MILETA; PEDRO FERNANDO SORIANO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1601
