materia_aulario,nombre_campus
accion.electricos,Accionamientos Eléctricos (Plan 2003)
algebra 1a,Álgebra I-A
algebra 1b (a1),Álgebra I-B
algebra 1b a1,Álgebra I-B
algebra 1b a2,Álgebra I-B
algebra ia,Álgebra I-A
algebra ii,Álgebra II
analisis de circuitos,Análisis de Circuitos (Plan 2024) / Teoría de Circuitos (Plan 2024) / Teoría de Redes I (Planes 2003-2010)
analisis matematico i,Análisis Matemático I
analisis matematico i a1-a2,Análisis Matemático I
analisis matematico i a1-a3,Análisis Matemático I
analisis matematico iii,Análisis Matemático III
analisis y diseño de sistemas i,Análisis y Diseño de Sistemas A (Plan 2024) / Análisis y Diseño de Sistemas I (Plan 2010)
analisis y protec. de sist. de potencia,Análisis y Protección de Sistemas de Potencia (Plan 2003)
analisis y protec. de sist.de potencia,Análisis y Protección de Sistemas de Potencia (Plan 2003)
análisis matemático ii a1 p,Análisis Matemático II
análisis matemático ii a1 t,Análisis Matemático II
análisis matemático ii a2 p,Análisis Matemático II
análisis matemático ii a2 t,Análisis Matemático II
análisis matemático ii a3 p,Análisis Matemático II
análisis matemático ii a3 t,Análisis Matemático II
aplicaciones de hidráulica y neumática,Aplicaciones de la Hidráulica y Neumática (Plan 2024)
arq. de computadoras,Fundamentos de la Arquitectura de Computadoras (Plan 2024) / Arquitectura de Computadoras (Plan 2010)
arq.de computadoras,Fundamentos de la Arquitectura de Computadoras (Plan 2024) / Arquitectura de Computadoras (Plan 2010)
base de datos ii (op),Bases de Datos II (Plan 2010)
bases de datos p,Bases de Datos (Plan 2010)
bases de datos t,Bases de Datos (Plan 2010)
biomateriales,Biomateriales
bioquímica de alimentos,Química y Bioquímica de Alimentos (Plan 2003)
calculos y elem. de maq,Cálculo de Elementos de Máquinas (Plan 2003)
circuitos electronicos ii,"Circuitos Electrónicos II (Plan 2003, 4C4)"
comunicaciones digitales,Comunicaciones Digitales (Plan 2003)
concepto de economía industrial,Economía Industrial/Conceptos de Ingeniería Industrial (ING8414/857)
control,Control (Plan 2003)
control 4e2,Control (Plan 2003)
control discreto,Introducción al Control Discreto (Plan 2010)
conv.electromecan.de la energia,Conversión Electromecánica de la Energía (ING2212) (Plan 2024)
conversion electromecanica de la energia,Conversión Electromecánica de la Energía (ING2212) (Plan 2024)
corrosion,Corrosión
desarrollo emprendedor y creación de empresas,Desarrollo Emprendedor y creación de empresas de base tecnológica (872) / Desarrollo Emprendedor y Creación de Empresas Basadas en el Conocimiento (8514)
dibujo b,Dibujo B (Plan 2024)
direccion de ventas industriales,Organización y Dirección Industrial (865) / Organización Empresarial e Industrial (8411)
diseñ de integ.de equip.est.e integ.de cañerias y recip,Diseño e Integridad de Equipos Estáticos
diseño de base de datos,Bases de Datos (Plan 2010)
diseño de integ.de equipos est.y cañerias y resip.de presion,Diseño e Integridad de Equipos Estáticos
diseño de sist. operativos,Diseño de Sistemas Operativos (Plan 2010)
diseño de sist.operativos,Diseño de Sistemas Operativos (Plan 2010)
diseño e integ.de equipos est.-y de recip.de presion,Diseño e Integridad de Equipos Estáticos
economía de la inovación,Economía de la Innovación (880) / Economía de la Innovación y del Conocimiento (8515)
elec.de potencia,Electrónica de Potencia (Plan 2003)
electronica aplicada,Electrónica (Plan 2003)
electronica de potencia,Electrónica de Potencia (Plan 2003)
electronica digital,Electrónica Digital (Plan 2010)
electronica:c,Electrónica (Plan 2003)
electrotecnia :a,Electrotecnia A (ING3201) (Plan 2024)
electrotecnia :c,Electrotecnia C (ING3203) (Plan 2024)
electrotecnia :d,Electrotecnia D (ING3204) (Plan 2024)
electrotecnia: a,Electrotecnia A (ING3201) (Plan 2024)
electrotecnia: d,Electrotecnia D (ING3204) (Plan 2024)
emprendimientos tecnologicos,Emprendimientos Tecnológicos
estatica y resistencia de materiales,Estática y Resistencia de Materiales (Plan 2003) / Fundamentos de Estática y Resistencia de Materiales (Plan 2024) / Mecánica del Sólido (Plan 2024)
estática ii,Estatica II (Plan 2024) - Estática del Sólido (Plan 2003)
"etica,leg,y prop.intelec.en el ejercicio prof","Derecho en Ingeniería (816) - Ética, Legislación y Propiedad Intelectual en el Ejercicio Profesional (8404)"
fisica a,Física A - Turno Mañana
fisica a (t-t p,Física A - Turno Tarde
fisica a (t-t) p,Física A - Turno Tarde
fisica b,Física B-I / Física B-II (Plan 2024) / Física 2 (Planes 2003-2010)
fisica b- bi y bii,Física B-I / Física B-II (Plan 2024) / Física 2 (Planes 2003-2010)
fisica ci,Fisica C-I/Fisica 3
fisica experimental a,Física Experimental A
fisicoquimica 1,Fisicoquímica I (Plan 2024)
fisicoquímica i t,Fisicoquímica I (Plan 2024)
fisicoquímica i tp,Fisicoquímica I (Plan 2024)
fisicoquímica ii,Fisicoquímica II (Plan 2024)
fluidodinamica,Fluidodinámica Computacional (Plan 2003)
fluidos y maq. fluidodinamicas,Fluidos y Máquinas Fluidodinámicas (Plan 2024)
fund. de arq. de comp,Fundamentos de la Arquitectura de Computadoras (Plan 2024) / Arquitectura de Computadoras (Plan 2010)
fund. de arq.. de comp. p,Fundamentos de la Arquitectura de Computadoras (Plan 2024) / Arquitectura de Computadoras (Plan 2010)
fund. de metalurgia fisica,Metalurgia Física (Plan 2003)
fund.de metalurgia fisica,Metalurgia Física (Plan 2003)
fundamentos de la programacion,Fundamentos de la Programación (Plan 2024) / Computación (Plan 2003)
fundamentos de la qca,Fundamentos de Química - Alias 2 (Plan 2024)
física a,Física A - Turno Mañana
física b -(bi- bii ),Física B-I / Física B-II (Plan 2024) / Física 2 (Planes 2003-2010)
física c i p,Fisica C-I/Fisica 3
física c i t,Fisica C-I/Fisica 3
física c ii p,Fisica C-II
física c ii t,Fisica C-II
gest. del mantenimiento,Gestión del Mantenimiento (858)/ Gestión Integral del Mantenimiento (8309)
gest.de seg.informatica y seg.en sist,Gestión de la Seguridad Informática (Plan 2010)
gestion de proy.informaticos (op),Gestión de Proyectos Kaizen (8517)
gestion de proy.informaticos(op),Gestión de Proyectos Kaizen (8517)
gestion de proyectos kaizer(op),Gestión de Proyectos Kaizen (8517)
industrias alimentarias,Industrias Alimentarias (Plan 2003)
industrias químicas,Industrias Químicas (Plan 2003)
informatica basica,Informática Básica - 2C - 2026 (Plan 2024)
informatica en la empresa,Informática en la Empresa (834) / Sistemas Informáticos de Gestón (8417)
inge.en software,Ingeniería de Software (Plan 2010)
ingenieria sanitaria,Ingeniería Sanitaria (885)/ Ingeniería Sanitaria (8519)
ingeniería de las reacciones homogéneas,Ingeniería de las Reacciones Homogéneas (Plan 2003)
