materia_aulario,titulo_crudo_ejemplo,clases_scrapeadas,outlook_asignatura,outlook_codigo,outlook_docente,score_aulario_outlook,campus_nombre_completo,campus_profesores,score_outlook_campus,metodo_match
accion.electricos,accion.electricos-(TP),1,ACCIONAMIENTOS ELÉCTRICOS,335,"FERREYRA, RUBEN",0.971,Accionamientos Eléctricos (Plan 2003),RUBEN ADRIAN ZUANETTI,1.0,nombre
algebra 1a,algebra 1A (T),2,ÁLGEBRA I-A,INGM10,"DISTEFANO, LAURA",1.0,Álgebra I-A,CARLOS ANTONIO CHIURO; ANABELLA SOLEDAD DI MARCO; MARIA LAURA DISTEFANO; PROF. VIVIAN FANOVICH; PATRICIA MONICA MARTINEZ; LUCIA VIVIANA PALAURO,1.0,profesor+nombre
algebra 1b (a1),algebra 1B (A1),1,ÁLGEBRA I-B,INGM10,CHIURO CARLOS ANTONIO,1.0,Álgebra I-B,MARIA BELEN ALVAREZ; CARLOS ANTONIO CHIURO; ADRIANA ELISABET GUITIN; FERNANDO AGUSTIN OTERO; MIRIAM GRACIELA PELLICER; MARIA CARMEN QUERCIA; MARIA DE LA PAZ ROSA URRA; MARIA FLORENCIA VECCIA,1.0,profesor+nombre
algebra 1b a1,algebra 1B A1,1,ÁLGEBRA I-B,INGM10,CHIURO CARLOS ANTONIO,1.0,Álgebra I-B,MARIA BELEN ALVAREZ; CARLOS ANTONIO CHIURO; ADRIANA ELISABET GUITIN; FERNANDO AGUSTIN OTERO; MIRIAM GRACIELA PELLICER; MARIA CARMEN QUERCIA; MARIA DE LA PAZ ROSA URRA; MARIA FLORENCIA VECCIA,1.0,profesor+nombre
algebra 1b a2,algebra 1B A2,2,ÁLGEBRA I-B,INGM10,CHIURO CARLOS ANTONIO,1.0,Álgebra I-B,MARIA BELEN ALVAREZ; CARLOS ANTONIO CHIURO; ADRIANA ELISABET GUITIN; FERNANDO AGUSTIN OTERO; MIRIAM GRACIELA PELLICER; MARIA CARMEN QUERCIA; MARIA DE LA PAZ ROSA URRA; MARIA FLORENCIA VECCIA,1.0,profesor+nombre
algebra ia,algebra IA (P),1,ÁLGEBRA A,631,CHIURO CARLOS ANTONIO,0.567,Álgebra I-A,CARLOS ANTONIO CHIURO; ANABELLA SOLEDAD DI MARCO; MARIA LAURA DISTEFANO; PROF. VIVIAN FANOVICH; PATRICIA MONICA MARTINEZ; LUCIA VIVIANA PALAURO,0.815,profesor+nombre
algebra ii,algebra II (T) A 2,3,ÁLGEBRA II,INGM10,"MARTÍNEZ, PATRICIA",1.0,Álgebra II,JOSE CAMPOS; ANABELLA SOLEDAD DI MARCO; VANESA GISELE GALLI; PATRICIA MONICA MARTINEZ; GERMAN ALFREDO PECKER; MARIA FLORENCIA VECCIA,1.0,profesor+nombre
analisis de circuitos,analisis de circuitos,2,ANÁLISIS DE CIRCUITOS,ING4206,"GONZALEZ, ESTEBAN",1.0,Análisis de Circuitos (Plan 2024) / Teoría de Circuitos (Plan 2024) / Teoría de Redes I (Planes 2003-2010),FABRICIO MARIO BASSO; JUAN CRUZ CONCEPCION; BRIAN MAXIMILIANO GLUZMAN; ESTEBAN LUCIO GONZALEZ; MARCELO NICOLAS GUZMAN; MARIANO DAMIAN MOREL; GUSTAVO FERNANDO MURIAS,1.0,profesor+nombre
analisis matematico i,analisis matematico I(P)A2,5,ANÁLISIS MATEMÁTICO I,INGM10,"VIGO, PATRICIA",1.0,Análisis Matemático I,EUGENIO MARTINEZ CANTO; MARIA PATRICIA VIGO,1.0,profesor+nombre
analisis matematico i a1-a2,analisis matematico I A1-A2(P),1,ANÁLISIS MATEMÁTICO I,INGM10,"VIGO, PATRICIA",1.0,Análisis Matemático I,EUGENIO MARTINEZ CANTO; MARIA PATRICIA VIGO,1.0,profesor+nombre
analisis matematico i a1-a3,analisis matematico I A1-A3(P),1,ANÁLISIS MATEMÁTICO I,INGM10,"VIGO, PATRICIA",1.0,Análisis Matemático I,EUGENIO MARTINEZ CANTO; MARIA PATRICIA VIGO,1.0,profesor+nombre
analisis matematico iii,analisis matematico III (T)A1,6,ANÁLISIS MATEMÁTICO III,INGM10,"PASETTO, DANIEL",1.0,Análisis Matemático III,CARLOS ANTONIO CHIURO; SOL AGOSTINA FIGUEROA; VANESA GISELE GALLI; ALFREDO HIPOLITO GONZALEZ; JUAN HUGO ALBERTO MARROCCHI; DANIEL DARIO PASETTO; GERMAN ALFREDO PECKER; MARIA FLORENCIA VECCIA,1.0,profesor+nombre
analisis y diseño de sistemas i,analisis y diseño de sistemas I,2,ANÁLISIS Y DISEÑO DE SISTEMAS I,6A9,"SORIANO, FERNANDO",1.0,Análisis y Diseño de Sistemas A (Plan 2024) / Análisis y Diseño de Sistemas I (Plan 2010),SRECKO ESTANISLAO MILETA; GALIA CAROLINA SERRUYA; PEDRO FERNANDO SORIANO,1.0,profesor+nombre
analisis y protec. de sist. de potencia,analisis y protec. de sist. de potencia(TP),1,ANÁLISIS Y PROTECCIÓN DE SISTEMAS DE POTENCIA,3G4,"ANAUT, DANIEL",0.982,Análisis y Protección de Sistemas de Potencia (Plan 2003),DANIEL ORLANDO ANAUT; ISRAEL JOAQUIN SANCHEZ; JUAN MANUEL VIGNERTE,1.0,profesor+nombre
analisis y protec. de sist.de potencia,analisis y protec. de sist.de potencia,1,ANÁLISIS Y PROTECCIÓN DE SISTEMAS DE POTENCIA,3G4,"ANAUT, DANIEL",0.982,Análisis y Protección de Sistemas de Potencia (Plan 2003),DANIEL ORLANDO ANAUT; ISRAEL JOAQUIN SANCHEZ; JUAN MANUEL VIGNERTE,1.0,profesor+nombre
análisis matemático ii a1 p,Análisis Matemático II A1 P,2,ANÁLISIS MATEMÁTICO II,INGM10,"PASETTO, DANIEL",0.872,Análisis Matemático II,CARLOS ANTONIO CHIURO; SOL AGOSTINA FIGUEROA; DANIEL DARIO PASETTO; GERMAN ALFREDO PECKER; MIRIAM GRACIELA PELLICER; MARIA FLORENCIA VECCIA,1.0,profesor+nombre
análisis matemático ii a1 t,Análisis Matemático II A1 T,1,ANÁLISIS MATEMÁTICO II,INGM10,"PASETTO, DANIEL",0.872,Análisis Matemático II,CARLOS ANTONIO CHIURO; SOL AGOSTINA FIGUEROA; DANIEL DARIO PASETTO; GERMAN ALFREDO PECKER; MIRIAM GRACIELA PELLICER; MARIA FLORENCIA VECCIA,1.0,profesor+nombre
análisis matemático ii a2 p,Análisis Matemático II A2 P,1,ANÁLISIS MATEMÁTICO II,INGM10,"PASETTO, DANIEL",0.872,Análisis Matemático II,CARLOS ANTONIO CHIURO; SOL AGOSTINA FIGUEROA; DANIEL DARIO PASETTO; GERMAN ALFREDO PECKER; MIRIAM GRACIELA PELLICER; MARIA FLORENCIA VECCIA,1.0,profesor+nombre
análisis matemático ii a2 t,Análisis Matemático II A2 T,1,ANÁLISIS MATEMÁTICO II,INGM10,"PASETTO, DANIEL",0.872,Análisis Matemático II,CARLOS ANTONIO CHIURO; SOL AGOSTINA FIGUEROA; DANIEL DARIO PASETTO; GERMAN ALFREDO PECKER; MIRIAM GRACIELA PELLICER; MARIA FLORENCIA VECCIA,1.0,profesor+nombre
análisis matemático ii a3 p,Análisis Matemático II A3 P,2,ANÁLISIS MATEMÁTICO II,INGM10,"PASETTO, DANIEL",0.872,Análisis Matemático II,CARLOS ANTONIO CHIURO; SOL AGOSTINA FIGUEROA; DANIEL DARIO PASETTO; GERMAN ALFREDO PECKER; MIRIAM GRACIELA PELLICER; MARIA FLORENCIA VECCIA,1.0,profesor+nombre
análisis matemático ii a3 t,Análisis Matemático II A3 T,1,ANÁLISIS MATEMÁTICO II,INGM10,"PASETTO, DANIEL",0.872,Análisis Matemático II,CARLOS ANTONIO CHIURO; SOL AGOSTINA FIGUEROA; DANIEL DARIO PASETTO; GERMAN ALFREDO PECKER; MIRIAM GRACIELA PELLICER; MARIA FLORENCIA VECCIA,1.0,profesor+nombre
aplicaciones de hidráulica y neumática,aplicaciones de hidráulica y neumática (T-P),1,APLICACIONES DE HIDRAÚLICA Y NEUMÁTICA,ING2214,"ZUCAL, RICARDO",1.0,Aplicaciones de la Hidráulica y Neumática (Plan 2024),David Crovo; GUILLERMO JUAN PLUCHINO; RICARDO JAVIER ZUCAL,1.0,profesor+nombre
arq. de computadoras,arq. de computadoras,1,ARQUITECTURA DE COMPUTADORAS,6A5,"MONTINI, PABLO",0.967,Fundamentos de la Arquitectura de Computadoras (Plan 2024) / Arquitectura de Computadoras (Plan 2010),JUAN IGNACIO ITURRIAGA; FRANCO LANZILLOTTA; PABLO ARMANDO MONTINI,1.0,profesor+nombre
arq.de computadoras,arq.de computadoras,1,ARQUITECTURA DE COMPUTADORAS,6A5,"MONTINI, PABLO",0.967,Fundamentos de la Arquitectura de Computadoras (Plan 2024) / Arquitectura de Computadoras (Plan 2010),JUAN IGNACIO ITURRIAGA; FRANCO LANZILLOTTA; PABLO ARMANDO MONTINI,1.0,profesor+nombre
base de datos ii (op),base de datos II (OP),2,BASES DE DATOS II,6O11,"GENIN, FERNANDO",0.857,Bases de Datos II (Plan 2010),FERNANDO JAVIER GENIN,1.0,profesor+nombre
bases de datos p,Bases de Datos P,1,BASES DE DATOS,6B6,"SEIJAS, LETICIA",0.818,Bases de Datos (Plan 2010),CLAUDIO JOSE GEA; FRANCO LANZILLOTTA; LETICIA MARIA SEIJAS; FRANCISCO STIMMLER,1.0,profesor+nombre
bases de datos t,Bases de Datos T,1,BASES DE DATOS,6B6,"SEIJAS, LETICIA",0.818,Bases de Datos (Plan 2010),CLAUDIO JOSE GEA; FRANCO LANZILLOTTA; LETICIA MARIA SEIJAS; FRANCISCO STIMMLER,1.0,profesor+nombre
biomateriales,biomateriales-(TP),2,BIOMATERIALES,552,"BALLARRE, JOSEFINA",1.0,Biomateriales,GUSTAVO ABEL ABRAHAM; JOSEFINA BALLARRE; SILVIA MARCELA CERE; MARIA  ROSA KATUNAR,1.0,profesor+nombre
bioquímica de alimentos,bioquímica de alimentos,1,QUÍMICA Y BIOQUÍMICA DE ALIMENTOS,1BH,"ANSORENA, ROBERTA",0.805,Química y Bioquímica de Alimentos (Plan 2003),MARIA ROBERTA ANSORENA; KARINA CECILIA DI SCALA; MARIA PAULA GIACOMINI; MARIA GABRIELA GOÑI; LUCAS PAN,1.0,profesor+nombre
calculos y elem. de maq,calculos y elem. de maq.,1,CÁLCULO DE ELEMENTOS DE MÁQUINAS,239,"ZUCAL, RICARDO",0.962,Cálculo de Elementos de Máquinas (Plan 2003),Gonzalo Martín Bascones; ROBERTO RAFAEL FERNANDEZ; ISAIAS VIDAL; RICARDO JAVIER ZUCAL,1.0,profesor+nombre
