estado,materia_scraping,apariciones_14dias,titulo_crudo_ejemplo,confianza_match,materia_archivo,no_se_dicta
match,accion.electricos,2,accion.electricos-(TP),alta,ACCIONAMIENTOS ELÉCTRICOS,
match,algebra 1a,4,algebra 1A (T),alta,ÁLGEBRA I-A,
match,algebra ia,2,algebra IA (P),alta,ÁLGEBRA I-A,
match,algebra 1b (a1),2,algebra 1B (A1),alta,ÁLGEBRA I-B,
match,algebra 1b a1,2,algebra 1B A1,alta,ÁLGEBRA I-B,
match,algebra 1b a2,4,algebra 1B A2,alta,ÁLGEBRA I-B,
match,algebra ii,6,algebra II (T) A 2,alta,ÁLGEBRA II,
match,álgebra ii a1 p,2,Álgebra II A1 P,alta,ÁLGEBRA II,
match,álgebra ii a1 t,2,Álgebra II A1 T,alta,ÁLGEBRA II,
match,álgebra ii a2 p,2,Álgebra II A2 P,alta,ÁLGEBRA II,
match,álgebra ii a3,2,Álgebra II A3 ( P),alta,ÁLGEBRA II,
match,álgebra ii a3 p,2,Álgebra II A3 P,alta,ÁLGEBRA II,
match,álgebra ii a3 t,2,Álgebra II A3 T,alta,ÁLGEBRA II,
match,analisis de circuitos,4,analisis de circuitos,alta,ANÁLISIS DE CIRCUITOS,
match,analisis matematico i,10,analisis matematico I(P)A2,alta,ANÁLISIS MATEMÁTICO I,
match,analisis matematico i a1-a2,2,analisis matematico I A1-A2(P),alta,ANÁLISIS MATEMÁTICO I,
match,analisis matematico i a1-a3,2,analisis matematico I A1-A3(P),alta,ANÁLISIS MATEMÁTICO I,
match,análisis matemático ii a1 p,4,Análisis Matemático II A1 P,alta,ANÁLISIS MATEMÁTICO II,
match,análisis matemático ii a1 t,2,Análisis Matemático II A1 T,alta,ANÁLISIS MATEMÁTICO II,
match,análisis matemático ii a2 p,2,Análisis Matemático II A2 P,alta,ANÁLISIS MATEMÁTICO II,
match,análisis matemático ii a2 t,2,Análisis Matemático II A2 T,alta,ANÁLISIS MATEMÁTICO II,
match,análisis matemático ii a3 p,4,Análisis Matemático II A3 P,alta,ANÁLISIS MATEMÁTICO II,
match,análisis matemático ii a3 t,2,Análisis Matemático II A3 T,alta,ANÁLISIS MATEMÁTICO II,
match,analisis matematico iii,12,analisis matematico III (T)A1,alta,ANÁLISIS MATEMÁTICO III,
match,analisis y diseño de sistemas i,4,analisis y diseño de sistemas I,alta,ANÁLISIS Y DISEÑO DE SISTEMAS I,
match,analisis y protec. de sist. de potencia,2,analisis y protec. de sist. de potencia(TP),alta,ANÁLISIS Y PROTECCIÓN DE SISTEMAS DE POTENCIA,
match,analisis y protec. de sist.de potencia,2,analisis y protec. de sist.de potencia,alta,ANÁLISIS Y PROTECCIÓN DE SISTEMAS DE POTENCIA,
match,aplicaciones de hidráulica y neumática,2,aplicaciones de hidráulica y neumática (T-P),alta,APLICACIONES DE HIDRAÚLICA Y NEUMÁTICA,
match,arq. de computadoras,2,arq. de computadoras,alta,ARQUITECTURA DE COMPUTADORAS,
match,arq.de computadoras,2,arq.de computadoras,alta,ARQUITECTURA DE COMPUTADORAS,
match,bases de datos p,2,Bases de Datos P,alta,BASES DE DATOS,
